GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60081E+12,,2010-2014,New York,36,Queens County,81,122300,81122300,"Census Tract 1223, Queens County, New York",3627,0.322,0.105,0.009,0,0.012,0.002,0.008,0.008,0,0,0.013,0.044,0.002,0.001,0,0,0.018,0,0,0.047,0.019,0.01,0.271,0,0.031,0,0,0,0,0,0.006,0.017,0,0,0,0,0.011,0.044,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,122701,81122701,"Census Tract 1227.01, Queens County, New York",10145,0.497,0.204,0.002,0.003,0.001,0.003,0,0.002,0,0,0,0.026,0,0,0,0,0.005,0,0.001,0.011,0,0.005,0.209,0.001,0.003,0,0,0,0,0,0,0.023,0.004,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,122702,81122702,"Census Tract 1227.02, Queens County, New York",5878,0.477,0.254,0.005,0.009,0,0,0,0.004,0,0,0.004,0.059,0,0,0,0.002,0,0,0,0,0.029,0,0.065,0,0.051,0,0,0,0,0,0,0.003,0,0,0,0,0.031,0,0.006,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,124100,81124100,"Census Tract 1241, Queens County, New York",3247,0.411,0.028,0,0,0,0,0,0,0,0,0.015,0.101,0,0.018,0.015,0,0,0.016,0,0.009,0,0,0.306,0,0.031,0,0,0,0,0,0,0.018,0,0,0,0.012,0.008,0.01,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,124700,81124700,"Census Tract 1247, Queens County, New York",3083,0.458,0.035,0.008,0,0,0,0.006,0.022,0,0,0.012,0.203,0.005,0,0.002,0,0.006,0,0,0,0.001,0.006,0.2,0,0,0,0,0,0,0,0.006,0,0,0,0,0,0,0.019,0.01,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,125700,81125700,"Census Tract 1257, Queens County, New York",2980,0.374,0.087,0,0,0,0,0.003,0.001,0,0,0,0.03,0.008,0,0,0,0.037,0,0.048,0,0.064,0,0.153,0,0.028,0,0,0,0,0.025,0.057,0.049,0,0,0,0,0.028,0.007,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,126500,81126500,"Census Tract 1265, Queens County, New York",1528,0.479,0.16,0,0,0.01,0.019,0,0,0,0,0.024,0.022,0,0,0,0,0.007,0,0.022,0.018,0.048,0.007,0.056,0,0.014,0,0,0,0,0,0,0.091,0.009,0,0,0,0,0.012,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,126700,81126700,"Census Tract 1267, Queens County, New York",4203,0.462,0.139,0,0.004,0.019,0.004,0.003,0,0,0,0.01,0.065,0,0.001,0,0,0.001,0.002,0,0.01,0.027,0,0.149,0,0.009,0,0,0,0,0,0.025,0.045,0,0,0,0.001,0.009,0.005,0.01,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,127700,81127700,"Census Tract 1277, Queens County, New York",3264,0.377,0.047,0.002,0,0.028,0,0,0,0,0,0.021,0.261,0.002,0.003,0,0.002,0,0,0.003,0,0.048,0.002,0.05,0.015,0.01,0.017,0,0,0,0,0.039,0.005,0,0,0,0,0.003,0.065,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,128300,81128300,"Census Tract 1283, Queens County, New York",59,0.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
